,name,price,rating,about
87,Karuizawa 198034 Year Old Cask #6476,"£6,000",,"As strong on the nose as you’d expect from a 63% ABV bottling. Take your time though and, once the haze clears, find yourself in a bright garden of cut pine, summer fruits and coffee beans. On the palate, flowers bloom and dried fruit comes forward along with candied oranges and Christmas spice. Fresh oak rears its head toward the end but sweet citrus and juicy fruit win out into a long finish. A wonderful and rewarding whisky."
88,Karuizawa 1984Sherry Cask #3657,"£6,000",,
89,Suntory Yamazaki 25 Year OldSherry Cask,"£6,500",5(3 Reviews),A stunningly presented bottle of Suntory Yamazaki aged 25 years in sherry wood. The incredibly dark colour would suggest that this is from an outstanding oloroso cask.Tasting Notes (3) 
90,Karuizawa 198428 Year Old Cocktail Series,"£6,500",,
91,Karuizawa 1984Bot.2013 Sherry Cask #3663,"£6,500",5(1 Review),"A great single cask bottling from closed Karuizawa - distilled in 1984, matured in sherry cask #3663 and bottled in 2013. Big, rich and packed with sherry fruit.Tasting Notes (1) "
92,Karuizawa 198133 Year Old Cask #136,"£7,000",,"A vintage Karuizawa from 1981 that was released by La Maison du Whisky as part of its Artifices Series, that bears labels from various artists – this version was created by Singapore artist Warren Khong. The whisky itself, like many Karuizawas, was aged in an ex-sherry cask and delivers full-bodied spicy flavours."
93,Karuizawa 197935 Year Old Cask #8187,"£7,000",,"With only 350 bottles produced and the distillery now several years closed, the Karuizawa 1979 35-year-old might safely be called one of the rarest Japanese whiskies in existence. In the glass, it opens with an unapologetically alcoholic nose – no surprise given its substantial 58.8% ABV – but wait this out and be rewarded with wafts of gentle coffee and orchard fruit, fresh pine and rich soil. More delightful conflict awaits in the mouth, where wispy, spiced citrus wars with rich tobacco, old wood and a creeping hint of aniseed. A stunning example of Japanese elegance in whisky form."
94,Karuizawa 1983Bot.2014 Sherry Cask,"£7,000",5(2 Reviews),This 1983 Karuizawa has spent its life in first-fill sherry casks and was bottled in 2014 for a private customer.
95,Karuizawa 1980Bot.2015,"£7,500",,"Previewed at The Whisky Exchange Whisky Show 2015 as a Dream Dram, Karuizawa 1980 The Golden Samurai is one of the finest examples of sherry-cask-matured Japanese whisky we have ever tried. Bottled from a single cask, there are only a very limited number of bottles available."
96,HanyuThe Joker Colour Label,"£7,500",4.5(2 Reviews),"The eagerly-anticipated final release from the Ichiro's Malt Card series bottlings from the closed Hanyu distillery. This is a vatting of six vintages (1985, 1986, 1988, 1990, 1991 and 2000) from a total of seven types of cask (chibidaru, bourbon, Madeira, hogshead, Cognac, puncheon and sherry butt).Tasting Notes (1) "
97,Karuizawa 198429 Years Old Sherry Cask #3662,"£8,500",,"This sherry-matured Karuizawa was a joint bottling between The Whisky Exchange and Japanese company Shinanoya. Distilled in 1984 and aged for 29 years, 271 bottles were produced at 61%."
98,Karuizawa 30 Year OldBourbon Cask #8606,"£8,500",,"A contrast to its companion 31yo sherried release, this Karuizawa 30 year old has been matured solely in bourbon casks. A break from the distillery's usual character and one of only a handful of similar releases – intense and showing another side of this closed, cult distillery."
99,Karuizawa 1984First Fill Sherry Cask #4021,"£8,500",,"Another enormously potent first fill sherry cask from Karuizawa, this was distilled in 1984 and displays very big earthy savoury notes, overcooked Dundee cake, leathery fruit and a hint of smoke. At 64.5% a drop of water (or four) is perfectly acceptable, but we actually preferred this one neat.Tasting Notes (1) "
100,Karuizawa 1981Bot.2014 Sherry Cask,"£10,000",,"Whiskies from Karuizawa are some of the most sought after in the world. Not only has the distillery closed, but its heavily sherried drams have a reputation for excellence that has only grown over the past few years. This 1981 sherry-cask-matured dram was previewed at The Whisky Show 2014, where it went down a storm."
101,Karuizawa 31 Year OldSapphire Geisha,"£15,000",,"A 31-year-old Karuizawa single malt, matured in a single sherry cask for more than three decades before being bottled by Elixir Distillers exclusively for The Whisky Exchange's Karuizawa Geishas series. The bottle features a label designed by our creative director Raj Chavda, paying homage to the exquisite, inaccessible beauty of the meiko on her way to become geisha.Tasting Notes (1) "
102,Karuizawa 29 Year OldBourbon Cask #8897,"£17,500",,"One of a pair of mirror-image labelled bottles released at The Whisky Exchange Whisky Show 2014. This is the bourbon-matured half of the duo, although its deep and rich colour is more reminiscent of a heavily sherried dram. This sold out during the weekend of The Whisky Show."
103,Karuizawa 36 Year OldSapphire Geisha,"£18,000",,"A 36-year-old Karuizawa single malt, matured in a single sherry cask for more than three decades before being bottled by Elixir Distillers exclusively for The Whisky Exchange's Karuizawa Geishas series. The bottle features a label designed by our creative director Raj Chavda, paying homage to the exquisite, inaccessible beauty of the meiko on her way to become geisha.Tasting Notes (1) "
104,Karuizawa 35 Year OldBourbon Cask 8518 Emerald Geisha,"£18,000",5(2 Reviews),"Karuizawa's whiskies are legendary. Not only are they of sublime quality, but the distillery's closure almost 20 years ago means that they are rarer than emeralds. This exclusive single-cask bottling of 35-year-old single malt, created by Elixir Distillers, layers vanilla and spiced butter around the Karuizawa core.The distinctive emerald labels combine beautiful Japanese art forms with complex hot foil and intricate embossing embellishments, giving the bottles a sculptured finish. They were designed by The Whisky Exchange’s creative director Raj Chavda, who is also a fellow of the Royal Society of Art.Tasting Notes (1) "
105,Karuizawa 196742 Year Old Cask #6426 TWE 10th Anniversary,"£20,000",,
